Geneid	Chr	Start	End	Strand	Length	logFC.StageLate	logFC.StageMiddle	logCPM	F	PValue	FDR
3139	YJL194W	NC_001142.9	69338	70879	+	1542	-15.8550448976669	-15.3265721163947	4.56082425554121	3627.75361737783	1.71723436024512e-17	2.59223735026723e-16
6138	YPL074W	NC_001148.4	415763	418027	+	2265	-13.4575337267673	-13.8042581355683	6.46162054104803	3617.68875459387	1.71963619451566e-17	2.59223735026723e-16
1155	YDR183W	NC_001136.10	829585	830277	+	693	-15.7671798010879	-15.5646413105804	4.21539934483664	3630.70555400119	1.72017633868117e-17	2.59223735026723e-16
867	YDL097C	NC_001136.10	285391	286695	-	1305	-11.4931040788846	-12.2004272435156	8.00279858702426	3615.58775530081	1.72281005269253e-17	2.59223735026723e-16
3490	YJR144W	NC_001142.9	700882	701691	+	810	-13.3946295645678	-13.2127895146337	6.42402535231608	3615.15125481517	1.72725649261468e-17	2.59223735026723e-16
2532	YGR252W	NC_001139.9	996869	998188	+	1320	-14.2566390741975	-14.4056997936943	5.71877916470635	3612.06956864395	1.738916691878e-17	2.59223735026723e-16
6317	YPR106W	NC_001148.4	740061	741392	+	1332	-13.6912285132624	-14.4175993800076	5.83065512349354	3610.36159828122	1.7438068410044e-17	2.59223735026723e-16
6176	YPL037C	NC_001148.4	481428	481901	-	474	-12.1325335516506	-12.1774175204102	7.47899668326163	3608.01032449494	1.74559312583888e-17	2.59223735026723e-16
1310	YDR330W	NC_001136.10	1127872	1129374	+	1503	-13.4168734576937	-14.3893697563975	6.07597651242771	3605.54155174181	1.75654679560562e-17	2.59223735026723e-16
3040	YIL020C	NC_001141.2	314035	314820	-	786	-15.8719080243284	-15.0587989724854	4.98029346341297	3609.93071758073	1.76435446206542e-17	2.59223735026723e-16
2925	YIL134W	NC_001141.2	97395	98330	+	936	-16.3435047284072	-15.679047946561	4.05184697637212	3620.93756983082	1.76855015073062e-17	2.59223735026723e-16
2347	YGR087C	NC_001139.9	651290	652981	-	1692	-14.7543172426254	-14.6034123218138	8.64688760268086	3601.4353016421	1.77135519216344e-17	2.59223735026723e-16
2097	YGL153W	NC_001139.9	216273	217298	+	1026	-13.7036413999233	-14.4677181297986	5.93265331146785	3599.09955351618	1.77606898176246e-17	2.59223735026723e-16
2535	YGR255C	NC_001139.9	1002523	1003962	-	1440	-11.7433398480431	-12.0737842443066	8.01720610491637	3594.76350103182	1.78379992011588e-17	2.59223735026723e-16
2159	YGL091C	NC_001139.9	342056	343042	-	987	-14.721442780163	-14.1238046895788	5.46376659242643	3593.54826453963	1.79646348847505e-17	2.59223735026723e-16
6042	YPL169C	NC_001148.4	229039	230838	-	1800	-13.9462515938628	-13.1435446382257	6.34392775382493	3589.77787495212	1.80294760142117e-17	2.59223735026723e-16
914	YDL047W	NC_001136.10	369771	370706	+	936	-13.7160059241724	-14.2921734886011	5.97408009589553	3588.25737311009	1.80825326870018e-17	2.59223735026723e-16
4764	YMR176W	NC_001145.3	611740	615975	+	4236	-13.1794008150781	-13.5757613581848	7.02128844255441	3586.60480673497	1.81009473340133e-17	2.59223735026723e-16
4830	YMR236W	NC_001145.3	742971	743444	+	474	-14.6645128464732	-14.1916475665928	5.31618909892926	3588.02765045685	1.81631071460063e-17	2.59223735026723e-16
6360	YPR145W	NC_001148.4	822620	824338	+	1719	-12.44224587127	-11.6892687109789	7.78369352833829	3583.31001912333	1.81866667493709e-17	2.59223735026723e-16
6160	YPL053C	NC_001148.4	457118	458458	-	1341	-13.3602699824041	-12.9605658240883	6.78194972353837	3583.78593281669	1.81905333722577e-17	2.59223735026723e-16
5630	YOR103C	NC_001147.6	516449	516841	-	393	-13.44291545606	-13.4978280412861	6.33907854078081	3582.39045572028	1.82460664049775e-17	2.59223735026723e-16
3739	YKR002W	NC_001143.9	443232	444938	+	1707	-13.1942577418574	-13.7395082598881	6.56313134695351	3581.83429982998	1.82566250764782e-17	2.59223735026723e-16
5687	YOR160W	NC_001147.6	633839	636757	+	2919	-14.2925357962669	-14.5142241940287	5.94592048427998	3582.86957938781	1.82579853980051e-17	2.59223735026723e-16
6033	YPL178W	NC_001148.4	212158	212784	+	627	-13.9884103247787	-13.9924140702651	5.89754873069054	3579.3117400465	1.83620163968631e-17	2.59223735026723e-16
5011	YNL254C	NC_001146.8	168043	169248	-	1206	-14.9952283639194	-14.933613812522	5.54333099633711	3580.51655488693	1.83886248453959e-17	2.59223735026723e-16
3043	YIL017C	NC_001141.2	318200	320965	-	2766	-12.9585374829095	-13.5756064687642	6.940841017875	3577.01553067097	1.83950068088817e-17	2.59223735026723e-16
5014	YNL251C	NC_001146.8	172588	174315	-	1728	-12.3468199472229	-12.814038236552	7.29081092622675	3575.05066067646	1.8449778577424e-17	2.59223735026723e-16
6108	YPL104W	NC_001148.4	355700	357676	+	1977	-13.9223429130589	-14.2832247556484	5.75680352148749	3575.60350561791	1.84888096578259e-17	2.59223735026723e-16
3857	YLL056C	NC_001144.5	27409	28305	-	897	-12.9743412666641	-12.8465267066211	6.90007859766914	3573.75911861341	1.84937800966346e-17	2.59223735026723e-16
6383	YPR162C	NC_001148.4	866715	868304	-	1590	-14.722761489876	-14.6674396189266	5.43240120439782	3576.3807347662	1.8493970079516e-17	2.59223735026723e-16
1498	YDR520C	NC_001136.10	1481085	1483403	-	2319	-14.7889841226391	-14.2239083697596	5.67169683908223	3575.2872214919	1.85139382640333e-17	2.59223735026723e-16
4183	YLR240W	NC_001144.5	617533	620160	+	2628	-14.4549239556543	-14.0611962005795	6.09753615641811	3570.98246511454	1.86217761477698e-17	2.59223735026723e-16
1400	YDR416W	NC_001136.10	1298432	1301011	+	2580	-14.8920543261062	-14.251249298998	5.6006552431947	3571.97010237885	1.86256145568921e-17	2.59223735026723e-16
4751	YMR164C	NC_001145.3	587274	589550	-	2277	-14.9489291953597	-14.4801586080659	5.64718116525626	3568.56617664473	1.87404437867229e-17	2.59223735026723e-16
3343	YJR003C	NC_001142.9	440994	442553	-	1560	-15.0067619214856	-15.3862944554198	5.14240730573762	3570.22573820453	1.87537919466905e-17	2.59223735026723e-16
4855	YMR257C	NC_001145.3	779629	782031	-	2403	-13.8552695375033	-13.4115792010208	6.51089836123999	3565.45537795934	1.87753958174462e-17	2.59223735026723e-16
2853	YHR198C	NC_001140.6	496315	497280	-	966	-13.3571676673625	-13.6521473026963	6.43375548968802	3563.22858980265	1.88427970778288e-17	2.59223735026723e-16
1610	YEL001C	NC_001137.3	150301	150978	-	678	-14.3805131214629	-14.2579987308412	5.72533540676806	3563.46899965962	1.8869835006634e-17	2.59223735026723e-16
1971	YFR045W	NC_001138.5;NC_001138.5	241998;242082	242009;242999	+;+	930	-14.2297837890936	-14.4622152058893	5.69846858062768	3560.9550629988	1.89488555991807e-17	2.59223735026723e-16
5849	YOR320C	NC_001147.6	913619	915094	-	1476	-14.094700959101	-13.1440814987088	6.56527330605099	3559.38152134478	1.89707624768912e-17	2.59223735026723e-16
4234	YLR288C	NC_001144.5	713480	714904	-	1425	-15.5433998579951	-14.9454482354452	4.99458794979772	3563.15059757786	1.90150777505221e-17	2.59223735026723e-16
2324	YGR062C	NC_001139.9	616328	617278	-	951	-15.450743521111	-14.8055253979225	4.91954187507098	3559.08558595657	1.91424153313491e-17	2.59223735026723e-16
4458	YML098W	NC_001145.3	77267	77770	+	504	-15.0558220448059	-14.4944875635131	5.4595581375032	3555.1528596014	1.91842470607502e-17	2.59223735026723e-16
211	YBL006C	NC_001134.8	216587	217129	-	543	-13.9168500803845	-13.5728387466668	6.11647334438452	3550.13826361444	1.92787117457597e-17	2.59223735026723e-16
3230	YJL103C	NC_001142.9	229025	230881	-	1857	-12.559107353329	-12.9953865275736	7.17077447099167	3547.55760502372	1.93304162885204e-17	2.59223735026723e-16
1626	YER013W	NC_001137.3	178841	182278	+	3438	-13.2309278525093	-13.5062492812423	6.74174381592994	3547.46225240059	1.93441752713223e-17	2.59223735026723e-16
1289	YDR313C	NC_001136.10	1089219	1090079	-	861	-12.9217823549883	-12.8955755746419	7.21774109470207	3546.94480349158	1.93467408057945e-17	2.59223735026723e-16
1460	YDR481C	NC_001136.10	1418550	1420250	-	1701	-13.1395419841678	-13.1654147800932	7.07642430045153	3546.17383464117	1.93787789065756e-17	2.59223735026723e-16
4725	YMR140W	NC_001145.3	547714	549183	+	1470	-13.0896263523269	-14.0479335227849	6.45472356507787	3546.43561585941	1.93844204122077e-17	2.59223735026723e-16
5101	YNL156C	NC_001146.8	341069	341968	-	900	-12.5670942295117	-12.8660123703209	7.43295489823205	3545.57424205261	1.93871102606618e-17	2.59223735026723e-16
3418	YJR076C	NC_001142.9	575354	576601	-	1248	-12.7905005549278	-13.4632010692713	6.73932583984664	3545.91319974148	1.93931057589269e-17	2.59223735026723e-16
5898	YOR371C	NC_001147.6	1031489	1034182	-	2694	-14.5548277643993	-14.2109899532146	5.87950989973286	3547.18937655932	1.9397388696006e-17	2.59223735026723e-16
2735	YHR089C	NC_001140.6	282681	283298	-	618	-13.8766554888421	-14.008939263457	6.13422448508064	3545.11427618369	1.94445379901128e-17	2.59223735026723e-16
6014	YPL196W	NC_001148.4	175043	175864	+	822	-13.223573801358	-14.0148780579215	6.31737364150137	3542.75317399786	1.95126800715373e-17	2.59223735026723e-16
1950	YFR029W	NC_001138.5	210937	212973	+	2037	-13.5581293074036	-14.2873152213767	6.07970178179253	3541.50486912414	1.95652750582964e-17	2.59223735026723e-16
4768	YMR180C	NC_001145.3	622251	623213	-	963	-14.0222673480701	-14.6438457551571	5.7880261340139	3541.56326174965	1.95866658484545e-17	2.59223735026723e-16
5003	YNL262W	NC_001146.8	148212	154880	+	6669	-12.8870333492685	-12.9929411679942	6.99412376643421	3536.57152855027	1.9697742806248e-17	2.59223735026723e-16
864	YDL100C	NC_001136.10	282112	283176	-	1065	-12.2116769149839	-11.9842692657219	7.60043927311721	3535.00259765529	1.97424981717235e-17	2.59223735026723e-16
3400	YJR057W	NC_001142.9	544062	544712	+	651	-15.6833116658988	-14.9306558136366	4.79929162022597	3539.75729455713	1.98294667333367e-17	2.59223735026723e-16
3039	YIL021W	NC_001141.2	312905	313861	+	957	-14.5294197939048	-14.1563115829914	5.47416335500832	3534.7005224925	1.984009200512e-17	2.59223735026723e-16
6338	YPR125W	NC_001148.4	787961	789325	+	1365	-13.8042982034479	-13.656366683748	6.1047923529703	3531.90722524198	1.98884845013415e-17	2.59223735026723e-16
4792	YMR200W	NC_001145.3	664752	665522	+	771	-13.498439201782	-13.3433661750017	6.47914991550689	3530.35803741591	1.99214162997619e-17	2.59223735026723e-16
1214	YDR242W	NC_001136.10	946807	948456	+	1650	-13.9181691368337	-14.0390047049805	6.71875114575631	3530.53961896503	1.99235752823432e-17	2.59223735026723e-16
944	YDL013W	NC_001136.10	429067	430926	+	1860	-14.5994940128675	-14.4336783725468	5.71397965172548	3531.24638799524	1.99425295638121e-17	2.59223735026723e-16
4318	YLR367W	NC_001144.5;NC_001144.5	856442;857058	856574;857317	+;+	393	-12.7766301255227	-12.1325738872866	7.4082172149517	3527.2713077838	2.00091845087257e-17	2.59223735026723e-16
2585	YHL038C	NC_001140.6	23617	25509	-	1893	-14.1555063476282	-13.929110170606	5.83449921895104	3528.03020503739	2.00323304961037e-17	2.59223735026723e-16
3541	YKL190W	NC_001143.9;NC_001143.9	82947;83075	82998;83550	+;+	528	-14.5368619293458	-14.2373210921959	5.70108786031505	3527.25442185385	2.00728025928015e-17	2.59223735026723e-16
660	YCR042C	NC_001135.5	201174	205397	-	4224	-13.6707329682057	-13.5161890987493	6.69900976336524	3525.30521523866	2.00920185462323e-17	2.59223735026723e-16
673	YCR057C	NC_001135.5	220457	223228	-	2772	-15.4324806677082	-14.7991418560961	5.15009692688975	3529.16719112893	2.0118173682113e-17	2.59223735026723e-16
3000	YIL062C	NC_001141.2	243998	244462	-	465	-12.3862079828499	-12.8583741078496	7.11525084101727	3523.85010015376	2.01257775217892e-17	2.59223735026723e-16
5505	YOL018C	NC_001147.6	290881	292074	-	1194	-14.4342280756167	-14.204071503956	5.57642366314259	3524.08994881035	2.01892637373625e-17	2.59223735026723e-16
3507	YJR161C	NC_001142.9	742848	743999	-	1152	-16.6545096199689	-15.7179767729391	4.36797825490591	3547.21303176167	2.02069151718713e-17	2.59223735026723e-16
5891	YOR362C	NC_001147.6	1017880	1018746	-	867	-12.0301520697612	-12.2624203888405	7.65825914108248	3517.74638880723	2.03264419458398e-17	2.59223735026723e-16
5659	YOR132W	NC_001147.6	573175	574830	+	1656	-12.9492212343968	-14.3138327061119	6.34054710792314	3518.8027250378	2.03325315196741e-17	2.59223735026723e-16
4151	YLR208W	NC_001144.5	559551	560444	+	894	-13.1041051911637	-13.2726831422801	6.68452552346191	3518.00119418178	2.03385983431655e-17	2.59223735026723e-16
3298	YJL042W	NC_001142.9	361249	365445	+	4197	-12.1719510404479	-12.7442533890666	7.6699470821914	3517.15193895055	2.03473711028649e-17	2.59223735026723e-16
6164	YPL049C	NC_001148.4	462481	463839	-	1359	-14.7091156878698	-15.0157186617898	5.05111500320832	3520.90533501334	2.03653935658917e-17	2.59223735026723e-16
1406	YDR422C	NC_001136.10	1315326	1317773	-	2448	-13.9285004156313	-13.7746175590439	6.4140992541391	3517.64857449079	2.03707428267043e-17	2.59223735026723e-16
2949	YIL110W	NC_001141.2	156045	157178	+	1134	-15.3426008494399	-14.7520616371935	4.92538031256799	3521.56507962251	2.0395163870392e-17	2.59223735026723e-16
619	YCR011C	NC_001135.5	133724	136873	-	3150	-12.3541652314641	-12.5189056437156	8.11183079991427	3515.30184933036	2.04137187755069e-17	2.59223735026723e-16
1618	YER007C-A	NC_001137.3;NC_001137.3	166237;166875	166771;166885	-;-	546	-14.7156918587592	-14.3847592318583	5.30780266844065	3516.17492337347	2.04955579160774e-17	2.59223735026723e-16
1960	YFR035C	NC_001138.5	226121	226465	-	345	-14.2000079227498	-15.550749046875	4.95103149976955	3519.82532291811	2.05075326004032e-17	2.59223735026723e-16
476	YBR243C	NC_001134.8	705447	706793	-	1347	-15.4648228824897	-15.3247803079002	4.62233924359509	3519.29378222915	2.05433309215725e-17	2.59223735026723e-16
305	YBR077C	NC_001134.8	391805	392293	-	489	-14.6275572303889	-14.3341054393242	5.44301771599212	3513.71766372947	2.05643130752987e-17	2.59223735026723e-16
645	YCR028C-A	NC_001135.5;NC_001135.5	172950;173199	173115;173440	-;-	408	-13.6049767595018	-13.035657163401	6.59313647386065	3508.67635416417	2.0668101745464e-17	2.59223735026723e-16
966	YDR007W	NC_001136.10	461842	462516	+	675	-14.0618436071466	-14.2830097667155	5.74381380715874	3509.3165203713	2.06891554632643e-17	2.59223735026723e-16
2471	YGR193C	NC_001139.9	884509	885741	-	1233	-13.9613756570366	-14.2400192415368	5.85335958219187	3508.42709039796	2.07169998775385e-17	2.59223735026723e-16
5645	YOR118W	NC_001147.6	546857	548560	+	1704	-13.510278335434	-13.7020014882845	6.41870727547072	3506.79615009385	2.0743241172461e-17	2.59223735026723e-16
6193	YPL018W	NC_001148.4	517651	518760	+	1110	-12.8781009178787	-15.2450462109803	6.2781453645424	3505.58404573938	2.08422954167364e-17	2.59223735026723e-16
845	YDL120W	NC_001136.10	245923	246447	+	525	-13.6459319538532	-13.5195434170329	6.1378482764169	3504.43264419398	2.08454890212869e-17	2.59223735026723e-16
1036	YDR069C	NC_001136.10	584939	587719	-	2781	-12.3466144683664	-12.7194861722219	7.359597390305	3503.08147309726	2.08516094870392e-17	2.59223735026723e-16
3801	YKR063C	NC_001143.9	560789	562297	-	1509	-13.9508971628839	-13.7132894735912	6.26980866180705	3502.79268017684	2.08974554890634e-17	2.59223735026723e-16
4766	YMR178W	NC_001145.3	618479	619303	+	825	-12.928397045259	-13.0833303029345	7.11179527287856	3501.66285120458	2.09101575041322e-17	2.59223735026723e-16
5523	YOL001W	NC_001147.6	325249	326130	+	882	-14.8798010951002	-14.4643433777019	5.4320276367849	3503.06617442789	2.0956178759823e-17	2.59223735026723e-16
3252	YJL081C	NC_001142.9	283802	285271	-	1470	-13.9478027270231	-14.1301789009208	5.95665181894375	3501.00614579507	2.09764756059534e-17	2.59223735026723e-16
3688	YKL046C	NC_001143.9	351275	352624	-	1350	-12.9790834339814	-12.6416846921116	7.14929246722398	3498.84148018995	2.10096112200272e-17	2.59223735026723e-16
979	YDR021W	NC_001136.10	486804	488003	+	1200	-15.352105615703	-15.9888025483716	4.41840365631111	3508.17928682956	2.10494620679916e-17	2.59223735026723e-16
3948	YLR035C	NC_001144.5	212369	214456	-	2088	-14.5557281081116	-15.1939929227578	5.5352057902655	3498.65463173586	2.11271476541852e-17	2.59223735026723e-16
5311	YNR047W	NC_001146.8	708523	711204	+	2682	-13.0455935737534	-13.2790292204564	7.10695447955526	3494.75006520659	2.11590870020801e-17	2.59223735026723e-16
868	YDL095W	NC_001136.10	287059	289512	+	2454	-12.0130115456788	-12.3259864794254	7.63148435817139	3494.168389968	2.11668203879939e-17	2.59223735026723e-16
5244	YNL021W	NC_001146.8	593227	595347	+	2121	-14.723110601948	-13.9311023994362	5.8650622062141	3493.93608846789	2.12539328388326e-17	2.59223735026723e-16
5430	YOL087C	NC_001147.6	155287	158637	-	3351	-12.3637126230793	-12.9238903710188	7.50366952216931	3491.5275441488	2.12684297269867e-17	2.59223735026723e-16
5572	YOR043W	NC_001147.6	410870	412330	+	1461	-13.2335608765396	-13.4631610295018	6.66886429522553	3490.68022844327	2.13188675285487e-17	2.59223735026723e-16
5648	YOR122C	NC_001147.6;NC_001147.6	552298;552875	552665;552887	-;-	381	-11.5412088529898	-11.8368932161209	8.25145752971287	3489.29592067268	2.13400368218951e-17	2.59223735026723e-16
705	YCR093W	NC_001135.5	280117	286443	+	6327	-12.0724521955111	-12.2510899560337	8.10344278073256	3489.22355936779	2.13453364804e-17	2.59223735026723e-16
3992	YLR080W	NC_001144.5	287916	289250	+	1335	-14.2765267889525	-14.5473853689933	5.86870892936253	3488.89827463062	2.14334233875128e-17	2.59223735026723e-16
1944	YFR025C	NC_001138.5	203743	204750	-	1008	-14.1841113209818	-14.2089755082165	5.82960508898958	3487.74375841553	2.14661849989278e-17	2.59223735026723e-16
604	YCL001W	NC_001135.5	111916	112482	+	567	-14.2702828384654	-13.9007203153021	5.92256905170707	3486.11228429683	2.15207101167922e-17	2.59223735026723e-16
6298	YPR088C	NC_001148.4	711403	713028	-	1626	-12.9963510619025	-13.2852059659463	6.92305260276534	3484.97947790866	2.15257787836062e-17	2.59223735026723e-16
350	YBR121C	NC_001134.8	481364	483367	-	2004	-12.0230448977006	-11.9167602598749	7.88532024364795	3483.3726023428	2.15600692394596e-17	2.59223735026723e-16
2002	YGL247W	NC_001139.9	36933	37526	+	594	-15.355731449585	-15.2814524735804	4.65119755295186	3490.17895293776	2.15816509337906e-17	2.59223735026723e-16
6309	YPR098C	NC_001148.4;NC_001148.4	728947;729482	729385;729528	-;-	486	-11.6540118645325	-12.4838507950717	7.87628788958344	3477.65581212957	2.17768183112771e-17	2.59223735026723e-16
352	YBR123C	NC_001134.8	484742	486691	-	1950	-13.9785943626953	-14.7555289478322	5.57131831489203	3477.72068196074	2.18756410550034e-17	2.59223735026723e-16
5400	YOL113W	NC_001147.6	104326	106293	+	1968	-14.0697468738539	-14.0558446047001	6.35037871029766	3474.60568399191	2.19443958446485e-17	2.59223735026723e-16
3825	YKR086W	NC_001143.9	599857	603072	+	3216	-14.2246117223323	-13.9329589065606	6.04434211545045	3473.7974408953	2.19782711770362e-17	2.59223735026723e-16
1723	YER093C	NC_001137.3	343320	347612	-	4293	-13.4432734545298	-13.7025190505954	6.6588165772414	3472.92853585339	2.19903113759888e-17	2.59223735026723e-16
19	YAL051W	NC_001133.9	48564	51707	+	3144	-13.9358102821172	-13.8123474564572	6.41007341611142	3473.01448746098	2.19996284063399e-17	2.59223735026723e-16
365	YBR137W	NC_001134.8	513044	513583	+	540	-14.3332937694408	-14.7336989353322	5.79207839591082	3474.0982169528	2.20011065828439e-17	2.59223735026723e-16
3364	YJR025C	NC_001142.9	471138	471671	-	534	-14.9631700613219	-15.6547300873616	4.82621933104033	3478.03061165138	2.20078106400756e-17	2.59223735026723e-16
5381	YOL132W	NC_001147.6	71300	72715	+	1416	-15.7990798178278	-16.0448375833427	4.73394175121538	3482.80401942636	2.20362957913463e-17	2.59223735026723e-16
3915	YLR004C	NC_001144.5	157934	159505	-	1572	-15.1472708515434	-15.7847303961079	6.25412061726702	3476.1392993554	2.20781479300202e-17	2.59223735026723e-16
1710	YER081W	NC_001137.3	322686	324095	+	1410	-11.8171266045449	-12.7062002679541	7.64031372464996	3468.78008261009	2.21174700690448e-17	2.59223735026723e-16
882	YDL081C	NC_001136.10	309802	310122	-	321	-11.9646831005678	-11.6902283117168	7.85510542964337	3468.5651675934	2.21275412001261e-17	2.59223735026723e-16
5196	YNL062C	NC_001146.8	508776	510212	-	1437	-15.3846278511098	-15.4101269722355	4.48171930311782	3476.08874023298	2.2184238004514e-17	2.59223735026723e-16
5786	YOR259C	NC_001147.6	812395	813708	-	1314	-11.8588625557115	-12.1584741435755	7.7574558490682	3465.88284303711	2.22286226840394e-17	2.59223735026723e-16
3125	YJL209W	NC_001142.9	38005	39969	+	1965	-14.4581164663295	-14.5160934697308	5.84120494641863	3466.74434024197	2.22747250756184e-17	2.59223735026723e-16
3417	YJR075W	NC_001142.9	573981	575171	+	1191	-13.7428244257131	-13.4687109297757	6.57243190232102	3464.01941087584	2.23362201663405e-17	2.59223735026723e-16
6083	YPL128C	NC_001148.4	306533	308221	-	1689	-15.367130736111	-14.49779452912	5.33062505280252	3467.31035747486	2.23437102443351e-17	2.59223735026723e-16
5069	YNL191W	NC_001146.8	280432	281505	+	1074	-13.0909907944413	-13.9030598123573	6.23553788789678	3463.23204197554	2.23829567286072e-17	2.59223735026723e-16
1883	YFL024C	NC_001138.5	87847	90345	-	2499	-13.0790331069474	-14.0839009681908	6.42257222769403	3462.43339266456	2.23974562497257e-17	2.59223735026723e-16
4731	YMR146C	NC_001145.3	557481	558524	-	1044	-13.1461013383099	-12.4907163762193	7.0456962680373	3461.6386194159	2.24099758331291e-17	2.59223735026723e-16
6096	YPL116W	NC_001148.4	329606	331699	+	2094	-13.5914841445778	-14.2477414192337	5.98307183595733	3461.8369740294	2.24432489006229e-17	2.59223735026723e-16
4547	YML014W	NC_001145.3	243225	244064	+	840	-15.1817707920589	-15.0788352828928	4.74801859995155	3466.29827822218	2.24626667751597e-17	2.59223735026723e-16
332	YBR102C	NC_001134.8	445062	447323	-	2262	-14.8912228441558	-14.4726413646523	5.42861700076503	3459.06920093333	2.26146961868208e-17	2.59223735026723e-16
4005	YLR093C	NC_001144.5;NC_001144.5	326513;327400	327258;327415	-;-	762	-13.7693778148107	-13.9536617101932	6.08818891592069	3454.77182537926	2.27164365779973e-17	2.59223735026723e-16
4365	YLR411W	NC_001144.5	947253	947978	+	726	-12.2366168769888	-11.9889194189561	8.18878230420481	3452.69222075698	2.27445757797194e-17	2.59223735026723e-16
5219	YNL041C	NC_001146.8	549468	551987	-	2520	-14.2708552890665	-13.8558002715864	6.10943175610993	3453.21792837761	2.27763433445171e-17	2.59223735026723e-16
212	YBL005W	NC_001134.8	217470	220400	+	2931	-14.6716448683968	-14.4982564504318	5.54619836007305	3453.76330375901	2.28049744713253e-17	2.59223735026723e-16
402	YBR173C	NC_001134.8	581726	582172	-	447	-11.8992039447839	-12.3940140309051	7.47483185902498	3450.97775207528	2.28199791430046e-17	2.59223735026723e-16
5322	YNR055C	NC_001146.8	728426	730186	-	1761	-13.7607187545777	-13.293558498828	6.81847819655434	3450.71246384502	2.2854324090109e-17	2.59223735026723e-16
41	YAL030W	NC_001133.9;NC_001133.9	87286;87501	87387;87752	+;+	354	-13.7885312512889	-13.773236381553	6.23241729421385	3449.95793476733	2.28991743686317e-17	2.59223735026723e-16
683	YCR069W	NC_001135.5	239055	240011	+	957	-13.5697033133231	-13.91716584838	6.56046928082097	3448.92610758357	2.29306585700842e-17	2.59223735026723e-16
4790	YMR198W	NC_001145.3	659745	661529	+	1785	-15.5498338150078	-15.8646542920872	4.45402871704724	3457.04533009785	2.29753593956543e-17	2.59223735026723e-16
70	YAL002W	NC_001133.9	143707	147531	+	3825	-14.6715275541456	-14.6507947844334	5.84775707706121	3447.43692149347	2.30530956534452e-17	2.59223735026723e-16
5429	YOL088C	NC_001147.6	153912	154745	-	834	-14.4578735737828	-14.5586977210955	5.48802699881303	3446.99031958709	2.30790431941852e-17	2.59223735026723e-16
5413	YOL103W	NC_001147.6	124001	125830	+	1830	-14.3858778119765	-13.8149004215666	5.99365799560641	3444.40272686173	2.31442339157361e-17	2.59223735026723e-16
5544	YOR018W	NC_001147.6	364369	366882	+	2514	-14.5210552100722	-14.8628217624858	5.58234109259721	3445.42316825417	2.31471492451044e-17	2.59223735026723e-16
3466	YJR122W	NC_001142.9	649776	651269	+	1494	-13.795918844085	-13.3360567595223	6.16537450470815	3442.57696933807	2.32112550638288e-17	2.59223735026723e-16
694	YCR082W	NC_001135.5	258883	259269	+	387	-12.5958725386007	-12.9699271304404	6.89986843364217	3439.08109679787	2.33159555566218e-17	2.59223735026723e-16
2194	YGL056C	NC_001139.9	396035	397618	-	1584	-14.0789529014194	-13.7321439051168	5.95078865466731	3439.91737217368	2.33227960851608e-17	2.59223735026723e-16
6420	YPR200C	NC_001148.4	939279	939671	-	393	-16.8175933061179	-15.6302545501716	3.88803736533187	3472.62519732375	2.34667485779523e-17	2.59223735026723e-16
5576	YOR047C	NC_001147.6	416347	417681	-	1335	-16.2497055289581	-15.4342229310461	6.07629614533652	3447.01099238544	2.34836906428484e-17	2.59223735026723e-16
3756	YKR019C	NC_001143.9	476216	478063	-	1848	-16.0991804434567	-15.8456687933312	4.70836050206662	3446.53153815744	2.35225250190098e-17	2.59223735026723e-16
5737	YOR208W	NC_001147.6	733925	736177	+	2253	-13.528607544637	-14.4106820517191	6.14307689145077	3434.40312488825	2.35379399891383e-17	2.59223735026723e-16
6039	YPL172C	NC_001148.4	224353	225741	-	1389	-14.5865403105447	-14.5332112197367	5.44139523419273	3433.46971906666	2.36379878545933e-17	2.59223735026723e-16
2451	YGR174C	NC_001139.9	845893	846405	-	513	-12.9900426296801	-13.358054261427	6.84842882256932	3430.22806379451	2.36804568707518e-17	2.59223735026723e-16
2052	YGL197W	NC_001139.9	124698	129161	+	4464	-12.7338157195268	-13.5117711020554	7.03723839840619	3429.73307024242	2.36957813418961e-17	2.59223735026723e-16
573	YCL034W	NC_001135.5	61658	62722	+	1065	-13.709171079743	-13.9770471679519	6.49552872043243	3427.82803125367	2.3799861042193e-17	2.59223735026723e-16
3478	YJR133W	NC_001142.9	672991	673620	+	630	-14.1136934540989	-13.2762909292144	6.40341960451443	3427.4156380145	2.38196683685116e-17	2.59223735026723e-16
64	YAL008W	NC_001133.9	136914	137510	+	597	-14.3262091639738	-13.9540508137676	6.0913921982659	3427.51179221938	2.38325392507057e-17	2.59223735026723e-16
4807	YMR214W	NC_001145.3	695350	696483	+	1134	-14.51865677055	-14.6066078416619	5.25919218776503	3426.8015191269	2.39397344807233e-17	2.59223735026723e-16
4594	YMR022W	NC_001145.3	318680	319177	+	498	-13.4073087656511	-13.3576180515965	6.43832707404987	3424.16493679281	2.39497364115366e-17	2.59223735026723e-16
3065	YIL001W	NC_001141.2	353940	355481	+	1542	-15.256457013084	-14.4270535623471	5.36716461958463	3426.22715237803	2.39914834257401e-17	2.59223735026723e-16
2020	YGL228W	NC_001139.9	67598	69331	+	1734	-12.462337153572	-12.6519354304983	7.49650185907188	3421.08619690473	2.40437044870834e-17	2.59223735026723e-16
