# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-a" "/scratch/lukens/Assignment_2_Genome/genomic.gtf" "-o" "featureGenecount.txt" "SRR10551657.fastqAligned.out.sorted.bam" "SRR10551658.fastqAligned.out.sorted.bam" "SRR10551659.fastqAligned.out.sorted.bam" "SRR10551660.fastqAligned.out.sorted.bam" "SRR10551661.fastqAligned.out.sorted.bam" "SRR10551662.fastqAligned.out.sorted.bam" "SRR10551663.fastqAligned.out.sorted.bam" "SRR10551664.fastqAligned.out.sorted.bam" "SRR10551665.fastqAligned.out.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10551657.fastqAligned.out.sorted.bam	SRR10551658.fastqAligned.out.sorted.bam	SRR10551659.fastqAligned.out.sorted.bam	SRR10551660.fastqAligned.out.sorted.bam	SRR10551661.fastqAligned.out.sorted.bam	SRR10551662.fastqAligned.out.sorted.bam	SRR10551663.fastqAligned.out.sorted.bam	SRR10551664.fastqAligned.out.sorted.bam	SRR10551665.fastqAligned.out.sorted.bam
YJR064W	NC_001142.9	555914	557602	+	1689	120	97	105	304	182	174	127	172	128
YJR065C	NC_001142.9	557809	559158	-	1350	139	91	107	161	94	99	102	108	112
YJR066W	NC_001142.9	559416	566828	+	7413	223	171	187	408	255	222	741	803	767
YJR067C	NC_001142.9	567019	567444	-	426	28	15	20	28	38	19	13	21	31
YJR068W	NC_001142.9	567643	568704	+	1062	83	67	75	152	117	52	95	123	134
YJR069C	NC_001142.9	568806	569399	-	594	23	19	19	37	23	26	30	40	32
YJR070C	NC_001142.9	569621	570598	-	978	98	71	50	92	74	37	61	57	62
YJR072C	NC_001142.9	570967	572124	-	1158	231	161	200	170	181	66	67	98	109
YJR073C	NC_001142.9	572315	572935	-	621	186	123	147	297	270	170	180	202	183
YJR074W	NC_001142.9	573095	573751	+	657	61	41	48	177	139	114	143	155	134
YJR075W	NC_001142.9	573981	575171	+	1191	123	84	75	191	147	101	173	193	206
YJR076C	NC_001142.9	575354	576601	-	1248	196	167	173	204	169	82	129	147	147
YJR077C	NC_001142.9	577255	578190	-	936	1112	648	807	2795	1607	1709	918	990	835
YJR078W	NC_001142.9	578860	580221	+	1362	29	15	16	39	28	28	68	76	70
YJR079W	NC_001142.9;NC_001142.9	580205;581053	580347;581239	+;+	330	40	30	23	15	30	6	20	12	14
YJR080C	NC_001142.9	580432	581616	-	1185	227	168	146	300	269	119	96	117	134
YJR082C	NC_001142.9	581914	582255	-	342	61	29	24	91	92	31	49	56	73
YJR083C	NC_001142.9	582608	583537	-	930	66	31	46	56	57	16	31	51	58
YJR084W	NC_001142.9	583733	585004	+	1272	55	32	36	90	62	36	45	68	57
YJR085C	NC_001142.9	585120	585437	-	318	566	456	490	457	437	224	248	248	265
YJR086W	NC_001142.9	586068	586400	+	333	60	35	22	41	54	7	18	16	14
YJR088C	NC_001142.9	586495	587373	-	879	63	37	48	144	121	40	50	81	90
YJR089W	NC_001142.9	587718	590582	+	2865	127	69	89	171	184	33	138	157	166
YJR090C	NC_001142.9	590872	594327	-	3456	168	122	133	200	157	89	203	197	238
YJR091C	NC_001142.9	595061	598336	-	3276	243	157	170	253	202	139	379	417	423
YJR092W	NC_001142.9	598735	603078	+	4344	94	66	64	57	60	34	21	22	21
YJR093C	NC_001142.9	603220	604203	-	984	48	19	26	67	57	21	46	53	52
YJR094C	NC_001142.9	604569	605651	-	1083	97	64	62	13	14	3	22	20	19
YNCJ0028C	NC_001142.9	605936	607424	-	1489	169	118	122	78	68	34	31	28	28
YJR094W-A	NC_001142.9;NC_001142.9	608305;608582	608306;608858	+;+	279	308	205	233	469	313	209	67	60	94
YJR095W	NC_001142.9	609773	610741	+	969	221	154	169	198	272	98	13	16	8
YJR096W	NC_001142.9	611195	612043	+	849	808	619	702	696	707	412	1343	1785	1672
YJR097W	NC_001142.9	612413	612931	+	519	24	11	10	59	52	17	17	15	9
YJR098C	NC_001142.9	613186	615156	-	1971	57	45	48	108	71	39	73	102	97
YJR099W	NC_001142.9	615576	616286	+	711	25	10	12	46	29	14	25	32	25
YJR100C	NC_001142.9	616351	617334	-	984	74	40	59	95	105	36	73	95	88
YNCJ0029W	NC_001142.9;NC_001142.9	617919;617976	617956;618019	+;+	82	1	0	0	0	0	1	0	0	0
YJR101W	NC_001142.9	618234	619034	+	801	190	111	140	266	211	125	79	104	93
YJR102C	NC_001142.9	619157	619765	-	609	42	25	21	57	48	19	37	36	45
YJR103W	NC_001142.9	620754	622490	+	1737	216	166	177	162	138	137	272	313	251
YJR104C	NC_001142.9	622550	623014	-	465	1159	736	843	2007	1683	1364	1357	1593	1473
YJR105W	NC_001142.9	623581	624603	+	1023	179	111	124	598	330	355	466	489	452
YJR106W	NC_001142.9	624838	627015	+	2178	30	14	9	50	32	31	58	78	63
YJR107W	NC_001142.9	627340	628326	+	987	27	32	36	60	55	32	74	86	96
YJR107C-A	NC_001142.9	628457	628693	-	237	14	16	10	22	20	5	19	20	30
YJR108W	NC_001142.9	628712	629083	+	372	2	3	1	7	7	4	9	8	12
YJR109C	NC_001142.9	629585	632941	-	3357	313	189	213	643	478	415	328	358	311
YJR110W	NC_001142.9	633615	635681	+	2067	121	63	61	144	133	53	127	161	133
YJR111C	NC_001142.9	635855	636706	-	852	75	73	89	54	50	22	21	23	19
YJR112W	NC_001142.9	637030	637635	+	606	125	56	63	48	70	25	12	12	12
YJR112W-A	NC_001142.9;NC_001142.9	637790;637859	637809;638168	+;+	330	66	40	46	35	42	31	25	47	44
YJR113C	NC_001142.9	638232	638975	-	744	171	107	122	100	102	64	66	83	52
YJR115W	NC_001142.9	639942	640451	+	510	58	48	46	13	42	15	25	31	32
YJR116W	NC_001142.9	640825	641664	+	840	99	48	86	90	83	49	101	108	101
YJR117W	NC_001142.9	642007	643368	+	1362	518	317	343	480	380	269	234	248	228
YJR118C	NC_001142.9	643490	644101	-	612	100	74	68	120	110	49	61	53	62
YJR119C	NC_001142.9	644304	646490	-	2187	42	22	20	104	76	54	96	100	118
YJR120W	NC_001142.9	647126	647476	+	351	652	508	707	266	217	137	83	89	68
YJR121W	NC_001142.9	647607	649142	+	1536	6875	4697	5333	6584	5494	3567	2267	2486	2221
YJR122W	NC_001142.9	649776	651269	+	1494	96	81	90	202	174	107	58	77	80
YJR123W	NC_001142.9	651901	652578	+	678	749	420	441	1456	999	642	507	606	518
YJR124C	NC_001142.9	652892	654238	-	1347	13	6	14	44	36	23	33	28	35
YJR125C	NC_001142.9	654737	655963	-	1227	131	79	93	140	117	72	117	150	118
YJR126C	NC_001142.9	656254	658689	-	2436	125	104	107	220	130	118	276	317	306
YJR127C	NC_001142.9	658917	663059	-	4143	513	389	474	296	285	147	532	500	503
YJR128W	NC_001142.9	662921	663280	+	360	0	1	0	1	1	2	3	0	0
YNCJ0030W	NC_001142.9	663749	663942	+	194	218	168	175	442	626	788	435	370	445
YJR129C	NC_001142.9	664000	665019	-	1020	27	13	12	16	21	14	27	25	38
YJR130C	NC_001142.9	665218	667137	-	1920	137	112	88	204	158	99	91	117	130
YJR131W	NC_001142.9	667644	669293	+	1650	38	25	23	45	51	33	35	34	45
YJR132W	NC_001142.9	669522	672668	+	3147	41	33	18	69	42	60	99	114	101
YJR133W	NC_001142.9	672991	673620	+	630	89	61	67	215	163	120	123	169	149
YJR134C	NC_001142.9	673729	675852	-	2124	303	183	184	124	231	24	102	91	139
YJR135C	NC_001142.9	676059	676778	-	720	14	8	4	17	11	9	8	12	10
YJR135W-A	NC_001142.9	676971	677234	+	264	146	118	132	165	137	75	43	58	57
YJR136C	NC_001142.9	677441	678706	-	1266	19	19	14	57	40	29	36	42	54
YJR137C	NC_001142.9	678957	683285	-	4329	1152	806	957	823	575	679	376	323	310
YJR138W	NC_001142.9	684567	689321	+	4755	220	152	187	242	212	97	532	627	649
YJR139C	NC_001142.9	689445	690524	-	1080	636	404	479	759	520	534	430	428	416
YJR140C	NC_001142.9	690750	695696	-	4947	65	61	67	186	133	85	161	175	163
YJR141W	NC_001142.9	695906	696949	+	1044	22	26	21	46	59	23	26	35	32
YJR142W	NC_001142.9	697141	698169	+	1029	84	34	50	80	70	28	62	70	64
YJR143C	NC_001142.9	698326	700614	-	2289	174	90	117	530	220	348	221	250	235
YJR144W	NC_001142.9	700882	701691	+	810	163	88	111	237	204	99	80	90	97
YJR145C	NC_001142.9;NC_001142.9	702027;703055	702798;703068	-;-	786	202	126	130	532	287	293	187	194	202
YJR146W	NC_001142.9	703885	704238	+	354	1	2	0	2	0	0	3	3	0
YJR147W	NC_001142.9	704196	705272	+	1077	10	6	5	7	9	5	18	11	20
YJR148W	NC_001142.9	705744	706874	+	1131	30	31	39	37	32	26	97	105	113
YJR149W	NC_001142.9	707160	708374	+	1215	90	45	54	214	156	116	94	136	138
YJR150C	NC_001142.9	708811	709707	-	897	1	1	3	0	1	0	16	14	14
YJR151C	NC_001142.9	712255	715740	-	3486	41	38	37	73	75	35	193	200	168
YJR151W-A	NC_001142.9	717580	717630	+	51	3	1	0	0	0	0	1	1	0
YJR152W	NC_001142.9	719666	721297	+	1632	332	187	203	2078	1681	1076	2724	2954	3283
YJR153W	NC_001142.9	722815	723900	+	1086	5	8	4	11	11	5	14	24	9
YJR154W	NC_001142.9	725784	726824	+	1041	12	11	18	33	22	23	20	19	19
YJR155W	NC_001142.9	727405	728271	+	867	61	34	37	649	408	494	129	135	132
YJR156C	NC_001142.9	728574	729596	-	1023	4	2	3	10	10	8	7	5	4
YJR158W	NC_001142.9	732440	734143	+	1704	0	0	0	1	0	0	0	0	1
YJR159W	NC_001142.9	736044	737117	+	1074	1	3	0	4	3	2	5	6	2
YJR160C	NC_001142.9	738008	739816	-	1809	2	0	0	5	1	1	2	1	1
YJR161C	NC_001142.9	742848	743999	-	1152	15	11	11	36	34	22	43	53	42
YKL224C	NC_001143.9	1810	2181	-	372	6	2	1	1	1	0	1	0	1
YKL222C	NC_001143.9	3503	5620	-	2118	207	137	146	94	141	49	147	131	134
YKL221W	NC_001143.9	6107	7528	+	1422	44	40	27	68	44	37	31	39	41
YKL220C	NC_001143.9	9091	11226	-	2136	23	15	22	33	26	33	13	18	23
YKL219W	NC_001143.9	14485	15708	+	1224	11	9	11	28	22	19	26	39	50
YKL218C	NC_001143.9	17359	18339	-	981	28	24	18	91	53	59	77	96	80
YKL217W	NC_001143.9	22234	24084	+	1851	379	248	285	315	287	230	85	97	85
YKL216W	NC_001143.9	25215	26159	+	945	71	41	23	167	92	72	54	61	62
YKL215C	NC_001143.9	26827	30687	-	3861	55	32	45	107	70	86	179	197	206
YKL214C	NC_001143.9	31082	31693	-	612	65	50	57	80	75	43	80	98	85
YKL213C	NC_001143.9	31960	34107	-	2148	200	152	153	254	162	154	222	251	219
YKL212W	NC_001143.9	34543	36414	+	1872	100	64	64	340	227	200	219	259	205
YKL211C	NC_001143.9	36699	38153	-	1455	142	84	111	146	92	83	81	81	99
YNCK0001W	NC_001143.9	38811	38911	+	101	27	17	18	24	18	21	18	17	12
YKL210W	NC_001143.9	39163	42237	+	3075	576	382	383	848	491	491	624	656	591
YKL209C	NC_001143.9	42423	46295	-	3873	32	25	19	96	57	40	43	52	51
YNCK0002C	NC_001143.9	46735	46806	-	72	0	1	1	1	2	0	1	0	0
YKL208W	NC_001143.9	47157	47972	+	816	19	9	10	37	33	30	30	36	38
YKL207W	NC_001143.9	48194	48955	+	762	117	87	98	158	152	136	140	140	127
YKL206C	NC_001143.9	49006	49809	-	804	81	59	68	93	91	53	28	49	43
YKL205W	NC_001143.9	50051	53353	+	3303	50	30	47	164	122	80	73	92	85
YKL204W	NC_001143.9	53704	55602	+	1899	219	152	185	75	95	23	63	66	64
YKL203C	NC_001143.9	55935	63359	-	7425	145	97	104	259	188	169	350	429	352
YKL201C	NC_001143.9	63930	67466	-	3537	1040	949	1070	362	801	189	673	801	850
YKL198C	NC_001143.9	68232	70220	-	1989	38	20	32	20	28	33	48	56	44
YKL197C	NC_001143.9	70734	73865	-	3132	29	25	23	66	45	41	135	136	139
YNCK0003W	NC_001143.9	74624	74697	+	74	3	1	1	0	2	1	0	0	0
YKL196C	NC_001143.9	74932	75534	-	603	106	71	75	264	187	112	97	128	131
YKL195W	NC_001143.9	75821	77032	+	1212	1938	1366	1573	677	922	138	225	296	339
YKL194C	NC_001143.9	77258	78646	-	1389	65	51	38	90	70	39	55	58	61
YKL193C	NC_001143.9	78866	79882	-	1017	226	156	189	198	178	40	174	174	211
YKL192C	NC_001143.9	80160	80537	-	378	601	359	387	640	561	405	288	338	287
YKL191W	NC_001143.9	81035	82639	+	1605	62	33	33	127	93	84	75	95	86
YKL190W	NC_001143.9;NC_001143.9	82947;83075	82998;83550	+;+	528	71	40	52	118	104	45	84	103	89
YNCK0004W	NC_001143.9	84208	84291	+	84	0	0	0	0	0	0	0	0	0
YKL189W	NC_001143.9	84704	85903	+	1200	48	37	27	58	69	30	46	75	79
YKL188C	NC_001143.9	86225	88786	-	2562	76	52	59	55	77	23	94	99	123
YKL187C	NC_001143.9	89284	91536	-	2253	10	4	12	23	31	30	22	26	23
YKL186C	NC_001143.9	92744	93298	-	555	158	96	98	96	175	53	60	66	83
YKL185W	NC_001143.9	94499	96265	+	1767	264	204	215	198	216	68	83	82	78
YKL184W	NC_001143.9	96757	98157	+	1401	20	21	21	61	46	57	50	44	44
YKL183C-A	NC_001143.9	98395	98607	-	213	14	8	9	3	10	2	7	4	6
YKL183W	NC_001143.9	98721	99641	+	921	83	57	71	48	75	18	50	77	54
YKL182W	NC_001143.9	100671	106826	+	6156	698	414	468	4519	2509	3395	3170	3434	3450
YKL181W	NC_001143.9	107316	108599	+	1284	81	50	62	251	163	195	258	313	307
YKL180W	NC_001143.9;NC_001143.9	109269;109884	109577;110129	+;+	555	466	270	280	1018	684	473	364	383	368
YKL179C	NC_001143.9	110464	112503	-	2040	216	137	127	138	154	34	74	101	113
YKL178C	NC_001143.9	113215	114627	-	1413	32	12	13	15	7	3	9	10	9
YKL176C	NC_001143.9	115500	117986	-	2487	113	58	72	311	167	207	331	343	316
YKL175W	NC_001143.9	118793	120304	+	1512	211	131	158	294	221	214	326	407	350
YKL174C	NC_001143.9	120380	122236	-	1857	79	45	64	199	162	123	130	151	133
YKL173W	NC_001143.9	122517	125543	+	3027	65	40	45	103	78	63	77	83	110
YKL172W	NC_001143.9	125759	127042	+	1284	273	184	186	216	324	43	62	107	113
YKL171W	NC_001143.9	127475	130261	+	2787	117	93	80	166	113	127	252	302	274
YKL170W	NC_001143.9	130634	131050	+	417	118	72	112	198	181	77	57	60	64
YKL168C	NC_001143.9	131288	133462	-	2175	82	45	40	81	81	35	114	134	146
YKL167C	NC_001143.9	133721	134134	-	414	77	59	42	130	133	42	46	80	68
YKL166C	NC_001143.9	134509	135705	-	1197	41	26	35	59	80	33	41	43	53
YKL165C	NC_001143.9	137932	140691	-	2760	91	52	67	392	333	268	44	63	51
YNCK0005C	NC_001143.9	141018	141089	-	72	0	1	1	0	0	0	0	0	0
YKL164C	NC_001143.9	141794	142819	-	1026	1034	716	836	248	243	123	59	67	62
YKL163W	NC_001143.9	144401	145378	+	978	1351	912	1158	665	518	478	493	498	531
YKL162C	NC_001143.9	147630	148838	-	1209	35	19	31	79	44	30	70	78	61
YKL161C	NC_001143.9	149386	150687	-	1302	12	9	10	23	28	26	25	25	37
YKL160W	NC_001143.9	153269	153706	+	438	514	355	404	343	371	99	93	121	152
YKL159C	NC_001143.9	153816	154451	-	636	33	18	26	31	27	21	13	13	18
YKL157W	NC_001143.9;NC_001143.9	154991;155655	155271;158232	+;+	2859	315	158	182	789	416	479	848	895	851
YKL156W	NC_001143.9;NC_001143.9	158613;158967	158615;159212	+;+	249	329	177	180	635	487	187	186	222	270
YKL155C	NC_001143.9	159456	161342	-	1887	151	97	92	186	212	66	103	107	113
YKL154W	NC_001143.9	161601	162335	+	735	92	51	55	96	95	28	23	41	37
YNCK0006C	NC_001143.9	162487	162558	-	72	2	1	1	1	1	3	1	0	0
YKL152C	NC_001143.9	163642	164385	-	744	1142	781	928	2102	2562	1117	4599	5474	4788
YKL151C	NC_001143.9	164917	165930	-	1014	457	284	356	514	574	328	624	711	580
YKL150W	NC_001143.9	166544	167452	+	909	1760	1273	1442	1763	1668	755	1417	1929	1887
YKL149C	NC_001143.9	167612	168829	-	1218	34	16	25	49	32	19	42	60	44
YKL148C	NC_001143.9	169207	171129	-	1923	2187	1528	1836	1231	1242	616	586	585	478
YKL146W	NC_001143.9	171783	173861	+	2079	384	236	291	229	239	197	313	307	268
YKL145W	NC_001143.9	174213	175616	+	1404	537	307	391	642	379	298	342	420	520
YKL144C	NC_001143.9	175843	176481	-	639	50	31	34	57	45	19	19	30	30
YKL143W	NC_001143.9	176781	178172	+	1392	78	58	52	111	96	27	79	73	86
YKL142W	NC_001143.9	178515	179174	+	660	1059	741	825	539	639	209	375	465	447
YKL141W	NC_001143.9	179667	180263	+	597	1456	977	1065	2017	1702	1280	1227	1410	1377
YKL140W	NC_001143.9	180779	182425	+	1647	236	175	197	208	202	77	159	176	191
YKL139W	NC_001143.9	182958	184544	+	1587	64	32	34	65	75	9	31	41	48
YKL138C-A	NC_001143.9	184803	185012	-	210	10	13	12	44	26	6	9	18	8
YKL138C	NC_001143.9	185286	185681	-	396	221	146	154	83	119	19	20	22	30
YKL137W	NC_001143.9	185957	186292	+	336	148	82	106	131	148	32	34	44	47
YKL135C	NC_001143.9	186460	188640	-	2181	157	109	115	242	183	108	175	238	175
YKL134C	NC_001143.9	189124	191442	-	2319	67	48	62	204	123	97	77	90	104
YKL133C	NC_001143.9	191679	193070	-	1392	90	42	58	96	90	39	60	61	59
YKL132C	NC_001143.9	193574	194866	-	1293	49	36	38	36	50	29	45	51	40
YKL130C	NC_001143.9	195288	196028	-	741	26	22	27	67	56	31	31	46	43
YKL129C	NC_001143.9	196349	200167	-	3819	412	271	335	142	190	64	213	312	280
YKL128C	NC_001143.9	200884	201771	-	888	28	22	19	92	61	37	40	34	38
YNCK0007W	NC_001143.9	202999	203071	+	73	0	1	0	0	0	0	0	0	0
YKL127W	NC_001143.9	203541	205253	+	1713	40	31	41	119	63	60	42	36	29
YKL126W	NC_001143.9	205707	207749	+	2043	167	137	141	340	202	244	226	265	263
YKL125W	NC_001143.9	208247	210130	+	1884	105	96	85	172	120	103	130	169	171
YKL124W	NC_001143.9	210593	212332	+	1740	216	142	135	257	290	105	197	223	221
YKL122C	NC_001143.9	212495	212998	-	504	268	157	165	109	171	21	27	42	59
YKL121W	NC_001143.9	214142	216700	+	2559	94	55	58	97	76	53	147	141	147
YKL120W	NC_001143.9	217344	218318	+	975	52	25	40	201	121	117	118	120	147
YKL119C	NC_001143.9	218570	219217	-	648	52	33	33	85	63	20	30	43	54
YNCK0008W	NC_001143.9	219895	219967	+	73	0	0	0	0	0	0	0	0	0
YKL117W	NC_001143.9	220324	220974	+	651	543	398	526	613	534	174	179	205	233
YKL116C	NC_001143.9	221344	222900	-	1557	38	40	32	69	48	54	50	61	45
YKL114C	NC_001143.9	223352	224455	-	1104	134	84	117	93	106	38	54	38	58
YKL113C	NC_001143.9	224727	225875	-	1149	85	55	58	119	100	48	51	65	74
YKL112W	NC_001143.9	226570	228765	+	2196	191	153	123	174	155	60	160	171	174
YKL110C	NC_001143.9	228939	229880	-	942	130	98	92	205	278	79	93	112	120
YKL109W	NC_001143.9	232227	233891	+	1665	2210	1414	1608	1631	2132	447	1020	1205	1170
YKL108W	NC_001143.9	234426	235787	+	1362	66	50	47	56	48	16	38	47	49
YKL107W	NC_001143.9	236141	237070	+	930	66	31	54	21	13	16	40	49	33
YKL106C-A	NC_001143.9	237147	237266	-	120	6	3	1	1	2	1	1	5	3
YKL106W	NC_001143.9	237536	238891	+	1356	42	27	21	153	96	67	91	92	97
YKL105C	NC_001143.9	239185	242583	-	3399	181	131	124	99	192	41	149	198	181
YKL104C	NC_001143.9	243220	245373	-	2154	149	89	113	258	130	204	151	178	152
YKL104W-A	NC_001143.9	245032	245286	+	255	0	0	0	0	0	0	0	0	0
YKL103C	NC_001143.9	246138	247682	-	1545	1000	698	745	312	577	158	293	310	401
YKL102C	NC_001143.9	248062	248367	-	306	6	7	2	3	4	2	0	2	1
YKL101W	NC_001143.9	248920	253476	+	4557	391	243	243	329	352	134	88	126	135
YKL100C	NC_001143.9	253697	255460	-	1764	368	276	242	217	140	130	270	273	254
YKL099C	NC_001143.9	255720	256472	-	753	60	27	35	87	68	22	36	40	60
YKL098W	NC_001143.9	256770	257843	+	1074	22	22	26	56	34	47	59	67	57
YKL097C	NC_001143.9	258503	258913	-	411	3	4	5	0	2	0	1	3	0
YKL096C-B	NC_001143.9	259073	259222	-	150	24	18	23	9	10	9	7	6	11
YKL096W-A	NC_001143.9	259253	259531	+	279	7717	3909	4019	3251	2802	1898	6693	7584	6886
YKL096W	NC_001143.9	261132	261851	+	720	190	124	148	25	43	24	86	107	88
YKL095W	NC_001143.9	262277	263113	+	837	48	31	24	95	68	27	77	90	96
YKL094W	NC_001143.9	263349	264290	+	942	288	252	268	411	388	173	337	409	409
YKL093W	NC_001143.9	264789	265808	+	1020	73	59	84	78	44	33	73	87	66
YKL092C	NC_001143.9	266145	269459	-	3315	95	54	67	148	135	44	92	114	106
YKL091C	NC_001143.9	269718	270650	-	933	231	163	186	60	85	36	128	124	129
YKL090W	NC_001143.9	271878	273209	+	1332	28	29	23	47	41	15	41	45	48
YKL089W	NC_001143.9	273394	275043	+	1650	96	72	75	113	153	38	36	40	54
YKL088W	NC_001143.9	275283	276998	+	1716	129	101	122	134	171	43	102	119	144
YKL087C	NC_001143.9	277189	277863	-	675	396	262	314	374	371	242	213	250	245
YKL086W	NC_001143.9	278281	278664	+	384	19	13	21	11	8	6	8	9	16
YKL085W	NC_001143.9	279123	280127	+	1005	4906	3817	4814	1687	2274	704	1151	1247	1259
YKL084W	NC_001143.9	280509	280859	+	351	20	10	16	23	19	11	22	25	35
YKL082C	NC_001143.9	281025	282329	-	1305	434	332	374	195	682	26	90	130	150
YKL081W	NC_001143.9;NC_001143.9	282891;283422	283095;284455	+;+	1239	142	75	87	331	241	171	76	79	69
YNCK0009W	NC_001143.9	283185	283279	+	95	7	6	6	9	7	10	5	5	7
YKL080W	NC_001143.9	285030	286208	+	1179	249	152	169	401	273	206	308	335	345
YKL079W	NC_001143.9	286603	288573	+	1971	170	133	118	148	122	40	127	153	155
YKL078W	NC_001143.9	288845	291052	+	2208	20	14	13	33	21	21	22	30	33
YKL077W	NC_001143.9	291453	292631	+	1179	172	91	108	431	227	187	241	263	292
YKL075C	NC_001143.9	292956	294308	-	1353	97	77	89	159	174	49	107	96	121
YKL074C	NC_001143.9	294610	296193	-	1584	123	86	112	176	242	69	61	82	74
YKL073W	NC_001143.9	296430	299075	+	2646	533	359	437	537	681	218	139	158	190
YKL072W	NC_001143.9	299582	301882	+	2301	32	23	41	68	64	29	79	101	117
YNCK0010W	NC_001143.9;NC_001143.9	302918;302988	302953;303023	+;+	72	1	0	0	0	1	0	1	2	2
YKL071W	NC_001143.9	305114	305884	+	771	95	50	36	1635	827	1033	130	130	110
YKL070W	NC_001143.9	306211	306720	+	510	24	12	15	105	75	75	133	118	133
YKL069W	NC_001143.9	307285	307827	+	543	44	43	38	84	81	28	45	49	50
YNCK0011C	NC_001143.9	308144	308217	-	74	0	1	1	0	1	0	0	0	0
YKL068W-A	NC_001143.9	309206	309442	+	237	148	95	108	59	64	38	34	39	29
YKL068W	NC_001143.9	310199	313078	+	2880	77	51	52	133	115	44	73	121	108
YNCK0012C	NC_001143.9	313401	313472	-	72	2	3	4	0	0	0	0	1	0
YKL067W	NC_001143.9	314812	315273	+	462	496	341	417	561	614	296	400	464	435
YKL065W-A	NC_001143.9	315954	316175	+	222	61	61	55	9	12	6	16	31	23
YKL065C	NC_001143.9	316437	317057	-	621	499	433	431	341	330	123	143	168	196
YKL064W	NC_001143.9	317764	320673	+	2910	579	455	515	385	398	205	526	569	581
YKL063C	NC_001143.9	321015	321518	-	504	269	195	246	83	185	14	30	55	61
YKL062W	NC_001143.9	323228	325120	+	1893	379	247	285	570	437	287	804	989	992
YKL061W	NC_001143.9	325771	326112	+	342	54	43	39	39	58	13	27	18	25
YKL060C	NC_001143.9	326408	327487	-	1080	4101	2632	2782	9996	9810	5874	17620	20950	18140
YKL059C	NC_001143.9	328118	329443	-	1326	57	45	41	71	68	41	76	99	93
YKL058W	NC_001143.9	330166	330534	+	369	41	33	36	99	88	63	60	67	62
YKL057C	NC_001143.9	330856	333969	-	3114	70	65	46	270	148	136	98	110	103
YKL056C	NC_001143.9	334412	334915	-	504	622	481	499	1011	560	669	505	565	496
YKL055C	NC_001143.9	335321	336157	-	837	11	7	5	29	15	30	21	31	32
YKL054C	NC_001143.9	336537	338753	-	2217	2271	1591	1822	582	900	113	303	354	442
YKL053C-A	NC_001143.9	339182	339442	-	261	233	186	206	244	274	100	92	108	136
YKL052C	NC_001143.9	339668	340546	-	879	38	31	28	26	24	20	34	20	31
YKL051W	NC_001143.9	341312	342373	+	1062	32	22	25	47	41	23	67	61	63
YKL050C	NC_001143.9	342852	345620	-	2769	115	52	72	88	91	28	132	121	139
YKL049C	NC_001143.9	346075	346764	-	690	59	28	35	65	64	14	37	54	49
YKL048C	NC_001143.9	347214	349136	-	1923	59	42	34	197	155	81	129	171	134
YKL047W	NC_001143.9	349463	351013	+	1551	37	36	30	69	64	34	72	62	64
YKL046C	NC_001143.9	351275	352624	-	1350	206	124	150	311	280	182	207	253	216
YKL045W	NC_001143.9	353493	355079	+	1587	53	31	18	93	68	68	91	90	79
YKL044W	NC_001143.9	356322	356642	+	321	33	27	16	30	13	14	35	29	37
YKL043W	NC_001143.9	356748	357848	+	1101	581	383	405	239	264	111	447	528	545
YKL042W	NC_001143.9	358475	359566	+	1092	72	38	45	71	61	15	24	23	23
YKL041W	NC_001143.9	360143	360817	+	675	114	85	83	132	161	45	66	84	78
YKL040C	NC_001143.9	361058	361828	-	771	87	63	51	217	144	122	47	85	93
YKL039W	NC_001143.9	362622	364193	+	1572	116	83	79	201	105	129	139	141	130
YNCK0013W	NC_001143.9	364776	364876	+	101	58	41	43	117	135	154	92	75	87
YKL038W	NC_001143.9	365605	369117	+	3513	304	193	222	195	261	162	479	513	440
YKL037W	NC_001143.9	369365	369721	+	357	16	5	7	10	10	9	1	6	4
YKL035W	NC_001143.9	369891	371390	+	1500	724	499	598	505	442	344	875	898	915
YKL034W	NC_001143.9	371829	374105	+	2277	110	69	88	130	103	110	179	204	193
YKL033W-A	NC_001143.9	374505	375215	+	711	121	92	112	189	146	133	146	154	144
YKL033W	NC_001143.9	375456	378572	+	3117	33	16	17	76	47	62	92	86	109
YNCK0014W	NC_001143.9	379680	379753	+	74	0	2	1	0	1	0	0	1	0
YKL032C	NC_001143.9	380065	381858	-	1794	429	324	358	78	135	52	107	131	116
YKL029C	NC_001143.9	382716	384725	-	2010	56	22	62	74	63	57	43	41	52
YKL028W	NC_001143.9	385758	387206	+	1449	215	122	138	165	218	61	150	161	160
YKL027W	NC_001143.9	387562	388905	+	1344	35	24	40	133	87	86	76	85	81
YKL026C	NC_001143.9	389380	389883	-	504	535	400	543	166	284	55	147	249	220
YKL025C	NC_001143.9	390240	392279	-	2040	113	87	87	146	144	53	104	129	139
YKL024C	NC_001143.9	392526	393140	-	615	64	45	53	80	87	46	62	74	69
YKL023C-A	NC_001143.9	393146	393373	-	228	4	2	4	12	10	11	15	9	16
YKL023W	NC_001143.9	393721	394554	+	834	367	266	345	116	303	42	122	153	170
YKL022C	NC_001143.9	394726	397248	-	2523	130	96	126	128	94	56	105	103	122
YKL021C	NC_001143.9	397344	398750	-	1407	60	22	23	77	71	22	39	40	51
